sample_codes	samples	Subtype_miRNA	Subtype_mRNA	Subtype_DNAmeth	Subtype_Selected
TCGA.DD.A116.11	TCGA-DD-A116	5	5	1	LIHC.iCluster:1
TCGA.DD.A116.01	TCGA-DD-A116	5	5	1	LIHC.iCluster:1
TCGA.DD.A118.11	TCGA-DD-A118	4	1	3	LIHC.iCluster:1
TCGA.DD.A118.01	TCGA-DD-A118	4	1	3	LIHC.iCluster:1
TCGA.DD.A119.11	TCGA-DD-A119	5	3	1	LIHC.iCluster:1
TCGA.DD.A119.01	TCGA-DD-A119	5	3	1	LIHC.iCluster:1
TCGA.DD.A11A.11	TCGA-DD-A11A	1	4	3	LIHC.iCluster:2
TCGA.DD.A11A.01	TCGA-DD-A11A	1	4	3	LIHC.iCluster:2
TCGA.DD.A11B.11	TCGA-DD-A11B	2	4	4	LIHC.iCluster:2
TCGA.DD.A11B.01	TCGA-DD-A11B	2	4	4	LIHC.iCluster:2
TCGA.DD.A11C.11	TCGA-DD-A11C	1	4	4	LIHC.iCluster:3
TCGA.DD.A11C.01	TCGA-DD-A11C	1	4	4	LIHC.iCluster:3
TCGA.DD.A11D.11	TCGA-DD-A11D	5	4	2	LIHC.iCluster:3
TCGA.DD.A11D.01	TCGA-DD-A11D	5	4	2	LIHC.iCluster:3
TCGA.DD.A1EA.01	TCGA-DD-A1EA	1	5	4	LIHC.iCluster:3
TCGA.DD.A1EB.11	TCGA-DD-A1EB	2	4	4	LIHC.iCluster:2
TCGA.DD.A1EB.01	TCGA-DD-A1EB	2	4	4	LIHC.iCluster:2
TCGA.DD.A1EC.11	TCGA-DD-A1EC	3	1	4	LIHC.iCluster:1
TCGA.DD.A1EC.01	TCGA-DD-A1EC	3	1	4	LIHC.iCluster:1
TCGA.DD.A1ED.01	TCGA-DD-A1ED	5	5	2	LIHC.iCluster:1
TCGA.DD.A1EE.11	TCGA-DD-A1EE	1	5	4	LIHC.iCluster:3
TCGA.DD.A1EE.01	TCGA-DD-A1EE	1	5	4	LIHC.iCluster:3
TCGA.DD.A1EF.01	TCGA-DD-A1EF	1	1	3	LIHC.iCluster:1
TCGA.DD.A1EG.11	TCGA-DD-A1EG	5	3	2	LIHC.iCluster:3
TCGA.DD.A1EG.01	TCGA-DD-A1EG	5	3	2	LIHC.iCluster:3
TCGA.DD.A1EH.11	TCGA-DD-A1EH	4	1	3	LIHC.iCluster:1
TCGA.DD.A1EH.01	TCGA-DD-A1EH	4	1	3	LIHC.iCluster:1
TCGA.DD.A1EI.11	TCGA-DD-A1EI	5	1	1	LIHC.iCluster:1
TCGA.DD.A1EI.01	TCGA-DD-A1EI	5	1	1	LIHC.iCluster:1
TCGA.DD.A1EJ.11	TCGA-DD-A1EJ	1	1	2	LIHC.iCluster:3
TCGA.DD.A1EJ.01	TCGA-DD-A1EJ	1	1	2	LIHC.iCluster:3
TCGA.DD.A1EK.01	TCGA-DD-A1EK	2	4	2	LIHC.iCluster:3
TCGA.DD.A1EL.11	TCGA-DD-A1EL	1	5	2	LIHC.iCluster:3
TCGA.DD.A1EL.01	TCGA-DD-A1EL	1	5	2	LIHC.iCluster:3
TCGA.DD.A39V.11	TCGA-DD-A39V	1	5	4	LIHC.iCluster:3
TCGA.DD.A39V.01	TCGA-DD-A39V	1	5	4	LIHC.iCluster:3
TCGA.DD.A39W.11	TCGA-DD-A39W	1	5	4	LIHC.iCluster:2
TCGA.DD.A39W.01	TCGA-DD-A39W	1	5	4	LIHC.iCluster:2
TCGA.DD.A39X.11	TCGA-DD-A39X	2	3	3	LIHC.iCluster:1
TCGA.DD.A39X.01	TCGA-DD-A39X	2	3	3	LIHC.iCluster:1
TCGA.DD.A39Y.01	TCGA-DD-A39Y	3	1	1	LIHC.iCluster:3
TCGA.DD.A39Z.11	TCGA-DD-A39Z	2	2	4	LIHC.iCluster:2
TCGA.DD.A39Z.01	TCGA-DD-A39Z	2	2	4	LIHC.iCluster:2
TCGA.DD.A3A1.11	TCGA-DD-A3A1	2	4	2	LIHC.iCluster:3
TCGA.DD.A3A1.01	TCGA-DD-A3A1	2	4	2	LIHC.iCluster:3
TCGA.DD.A3A2.11	TCGA-DD-A3A2	2	4	4	LIHC.iCluster:2
TCGA.DD.A3A2.01	TCGA-DD-A3A2	2	4	4	LIHC.iCluster:2
TCGA.DD.A3A3.11	TCGA-DD-A3A3	3	2	1	LIHC.iCluster:1
TCGA.DD.A3A3.01	TCGA-DD-A3A3	3	2	1	LIHC.iCluster:1
TCGA.DD.A3A4.11	TCGA-DD-A3A4	3	3	4	LIHC.iCluster:2
TCGA.DD.A3A4.01	TCGA-DD-A3A4	3	3	4	LIHC.iCluster:2
TCGA.DD.A3A5.11	TCGA-DD-A3A5	2	4	2	LIHC.iCluster:3
TCGA.DD.A3A5.01	TCGA-DD-A3A5	2	4	2	LIHC.iCluster:3
TCGA.DD.A3A6.11	TCGA-DD-A3A6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.A3A6.01	TCGA-DD-A3A6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.A3A7.01	TCGA-DD-A3A7	3	3	3	LIHC.iCluster:2
TCGA.DD.A3A8.11	TCGA-DD-A3A8	2	5	4	LIHC.iCluster:2
TCGA.DD.A3A8.01	TCGA-DD-A3A8	2	5	4	LIHC.iCluster:2
TCGA.DD.A3A9.01	TCGA-DD-A3A9	3	1	3	LIHC.iCluster:1
